name,ne_ID,rating,num_of_rating,price,about,feat_labels,feat_values
Sennheiser HD 450BT Wireless Over Ear Noise Cancelling Headphones with Bluetooth 5.0 - Black,N82E16826106897, , ,$199.95,,"['Brand ', 'Model ', 'Type ', 'Color ', 'Frequency Response ', 'THD ', 'Connector ', 'Ear Coupling ', 'Weight ', 'Noise Cancelling ', 'Wireless Type ', 'Battery ', 'Operating Time ', 'Microphone Frequency Response ', 'Compatibility ', 'Package Contents ', 'Date First Available ']","['Sennheiser', 'HD 450BT Black', 'Over the Ear', 'Black', '18Hz-22KHz (-10 dB)', '< 0.3% (1 kHz, 100 dB)', 'USB-C (Charging)', 'Circumaural', 'Approx. 238g (0.52 lb.)', 'Yes', 'Bluetooth Version: Bluetooth 5.0Audio codec: SBC, AAC, AptX, AptX Low LatencySupported Profiles: HSP, HFP, AVRCP, A2DP', 'Battery Specification: Built-in Lithium-Polymer rechargeable battery: 3.7 V, 600 mAhCharging time: Approx. 2 hours', '30 hours music playback via Bluetooth with ANC activated', '80Hz to 6KHz (-3 dB)', 'N/A', 'HD 450BT Wireless HeadphonesAudio CableUSB-C Charging CableCarry CaseQuick GuideSafety Guide', 'March 02, 2020']"
JBL Tune 700 BT Wireless Over-Ear Headphones (Black),12K-00CS-00129, , ,$79.95,,"['Brand ', 'Series ', 'Model ', 'Type ', 'Color ', 'Connector ', 'Compatibility ', 'Date First Available ']","['JBL', 'Tune 700', 'JBLT700BTBLKAM', 'Over the Ear', 'Black', 'Yes', 'N/A', 'March 13, 2020']"
Sennheiser MOMENTUM True Wireless 2 Active Noise Cancelling In-ear Headphones (White),N82E16826106899, , ,299.95,,"['Brand ', 'Series ', 'Model ', 'Type ', 'Color ', 'Driver Unit ', 'Frequency Response ', 'THD ', 'Power Supply ', 'Sensitivity ', 'Connector ', 'Ear Coupling ', 'Noise Cancelling ', 'Wireless Type ', 'Battery ', 'Operating Time ', 'Microphone Frequency Response ', 'Compatibility ', 'Features ', 'Package Contents ', 'Date First Available ']","['Sennheiser', 'MOMENTUM True Wireless 2', 'M3IETW2 White', 'In-Ear', 'White', '7mm diameter dynamic', '5Hz-21KHz', '<0.08% (1kHz / 94dB)', '5V, 650 mA max, USB charging via USB-C socket at charging case', '107 dB SPL (1 kHz / 1 mW)', 'Yes', 'In-ear, closed acoustics', 'Single-Mic ANC per earbud side', 'Bluetooth 5.1', 'Built-in Lithium-Ion rechargeable batteries', 'Up to 7 hrs music playtime with earbuds. Up to 28 hrs overall music playtime with charging case.', '100Hz-10KHz', 'N/A', ""Delivers best possible listening experience at anytime7mm dynamic driver: Experience superior sound quality from audio specialist SennheiserBuilt-in equalizer: Personalizing your audio experienceANC & Transparent Hearing: Block out or listen to your surroundings - the choice is yoursSimplifies your life during the dayCustomizable touch controls: Let you define your personal interface for effortless controlSmart Pause: Don't miss any part of your favorite song with automatic play/pause featureVoice Assistant support: Interact at a touch with Google Assistant and Apple SiriDesigned for full day wearing7 + 21 hour playtime: Listen to music for up to 28 hours thanks to the charging caseImproved ergonomic design: Revel in sound it its smallest, most comfy formCraftsmanship: Quality that you expect from Sennheiser brandIPX4: Splash resistant design for all weather conditions"", 'MOMENTUM True Wireless 2 earbudsCharging caseUSB-C charging cableSilicone ear adapter sets (XS/S/M/L)', 'April 30, 2020']"
Beyerdynamic MMX 300 (718300) 2nd Generation Premium Gaming Headset (Closed),N82E16826380034, , ,299.00,,"['Brand ', 'Model ', 'Part ', 'Type ', 'Color ', 'Frequency Response ', 'Input Impedance ', 'Ear Coupling ', 'Features ', 'Option ', 'Date First Available ']","['Beyerdynamic', 'MMX 300', '718300', 'Over the Ear', 'Black', '5Hz-35KHz', '32 ohms', 'Circumaural', 'Closed headset with cable remote control - made in GermanyOptimum sound for gaming and multimedia applications on PC and consoleOutstanding speech intelligibility on account of high-quality microphone capsuleSuper soft microfibre ear pads for a comfortable fit allowing you to wear the headset for hours on endIncl. protective carry case, 6.35 mm jack adapter and 1.5 m Y-extension cable', 'In-Ear Wired', 'November 12, 2019']"
JBL JBLT110WHTAM Tune 110 In-Ear Headphones - White,0TH-001X-003R7, , ,12.95,,"['Brand ', 'Series ', 'Model ', 'Type ', 'Color ', 'Driver Unit ', 'Frequency Response ', 'Input Impedance ', 'Sensitivity ', 'Connector ', 'Cord Length ', 'Date First Available ']","['JBL', 'TUNE 110', 'JBLT110WHTAM', 'In-Ear', 'White', '9mm', '20Hz–20KHz', '16 ohms', '96 dB/mW', '3.5mm', '3.65 ft.', 'October 08, 2019']"
Maxell 190316 3.5mm Connector Supra-aural NB-201 Stereo Neckbands Headphone,9SIAFJ86WS6308,78%,"1,687",6.97,,"['Brand ', 'Model ', 'Type ', 'Driver Unit ', 'Frequency Response ', 'Input Impedance ', 'Sensitivity ', 'Connector ', 'Ear Coupling ', 'Cord Length ', 'Weight ', 'Features ', 'Date First Available ']","['Maxell', '190316', 'Behind the Neck', '30mm', '16Hz-24KHz', '32 ohms', '100 dB +/- 3dB', '3.5mm', 'Supra-aural', '4 feet', '0.15', 'Ideal for portable CD/DVD/Mp3/iPod playersLightweight behind the head designSoft touch rubber cord', 'February 18, 2018']"
Sennheiser CX 350BT Black Canal Bluetooth Wireless In-Ear Headphone,N82E16826106895, , ,$99.95,,"['Brand ', 'Model ', 'Type ', 'Color ', 'Frequency Response ', 'THD ', 'Input Impedance ', 'Connector ', 'Ear Coupling ', 'Weight ', 'Wireless Type ', 'Operating Time ', 'Package Contents ', 'Date First Available ']","['Sennheiser', 'CX 350BT Black', 'In-Ear', 'Black', '17Hz-20KHz (-10 dB)', '0.5% (1 kHz, 100 dB SPL)', '28 ohms', 'USB-C (Charging)', 'Canal', '13g', 'Bluetooth Version: 5.0Supported Profiles: A2DP, AVRCP, HSP, HFPCodecs: SBC, AAC, AptX, AptX Low Latency', 'Up to 10 hours (SBC)', 'CX 350BT earphonesEar adapter set (XS/S/M/L)USB-C charging cableQuick GuideSafety Guide', 'March 02, 2020']"
"JBL LIVE 500BT With Google, Alexa voice Bluetooth Over-Ear Headphones- Blue",0TH-02HP-00031, , ,$149.95,,"['Brand ', 'Series ', 'Model ', 'Type ', 'Color ', 'Driver Unit ', 'Frequency Response ', 'Input Impedance ', 'Power Supply ', 'Sensitivity ', 'Connector ', 'Weight ', 'Wireless Type ', 'Operating Time ', 'Features ', 'Package Contents ', 'Date First Available ']","['JBL', 'LIVE 500BT', 'JBLLIVE500BTBLUAM', 'Over the Ear', 'Blue', '50mm', '18Hz-20KHz', '32 ohms', 'Maximum input power: 15mW', 'Driver sensitivity at 1kHz/1mW: 108dB', 'Yes', '0.51 lb.', 'Bluetooth', 'Charging time: 2hrs from emptyMusic playtime with BT on: Up to 30 hours', 'JBL Signature SoundGet help from your voice assistantAmbient Aware and TalkThru Technology30 Hours Battery Life | 2 Hours Recharging Time15 minutes charging for 2 hours playtimeHands-free callsMulti-Point ConnectionPersoni-Fi AppComfort-fi t fabric headbandDetachable cable with remote & microphone', '1 x LIVE500BT1 x Aux Cable1 x Charging Cable1 x Warranty/Warning1 x QSG/Safety Sheet', 'May 30, 2019']"
JBL LIVE 650BTNC Wireless Over-Ear Noise-Cancelling Headphones - White,0TH-02HP-00032, , ,$199.95,,"['Brand ', 'Series ', 'Model ', 'Type ', 'Color ', 'Driver Unit ', 'Frequency Response ', 'Input Impedance ', 'Power Supply ', 'Sensitivity ', 'Weight ', 'Noise Cancelling ', 'Wireless Type ', 'Battery ', 'Operating Time ', 'Features ', 'Package Contents ', 'Date First Available ']","['JBL', 'LIVE 650BTNC', 'JBLLIVE650BTNCWAM', 'Over the Ear', 'White', '40mm', '20Hz–20KHz', '32 ohms', 'Maximum input power: 30mW', '100 dBSPL@1kHz/1mW', '249g (0.55 lb.)', 'Yes', 'Bluetooth version: Bluetooth 4.2Bluetooth profiles: HFP v1.6, A2DP V1.3, AVRCP V1.5', 'Polymer Li-ion Battery (3.7VDC, 700mAh)', 'Charging time: 2hrs from emptyMaximum music play time with ANC off (hours): 30.0Maximum music play time with ANC on (hours): 20.0', 'JBL Signature SoundGet help from your voice assistantPress play. Mute distractionsHands-free callsMulti-Point ConnectionComfort-fit fabric headbandPersoni-Fi App30 Hours battery life with ANC off and Speed ChargeKeep it safe when not in use', 'LIVE650BTNCAux CableCharging CableCarrying Pouch1 x Warranty/Warning1 x QSG/Safety Sheet', 'May 30, 2019']"
Philips UpBeat Bluetooth Wireless In-ear Headphones SHB3595BK - Black,N82E16826138365, , ,$39.99,,"['Brand ', 'Series ', 'Model ', 'Type ', 'Color ', 'Driver Unit ', 'Ear Coupling ', 'Wireless Type ', 'Operating Time ', 'Features ', 'Package Contents ', 'Date First Available ']","['PHILIPS', 'UpBeat', 'SHB3595BK', 'Wireless In-ear', 'Black', '8.6mm', 'Canal', 'Bluetooth 4.1', 'Up to 6 hours', 'ConnectivityMicrophone: Built-in microphoneBluetooth profiles: A2DP, Handsfree, HFP, HSP', 'Bluetooth headphones, 3 pairs of ear caps (small, medium and large)', 'November 12, 2019']"
"Soundcore Anker Liberty Air True-Wireless Earphones with Charging Case, Bluetooth 5, 20 Hour Battery Life, Touch Control Earbuds, Graphene Enhanced Sound, Noise-Cancelling Microphones (White)",9SIACCUAMP1458,91%,"1,697",69.99,,"['Brand ', 'Model ', 'Type ', 'Color ', 'Ear Coupling ', 'Weight ', 'Noise Cancelling ', 'Wireless Type ', 'Operating Time ', 'Compatibility ', 'Features ', 'Package Contents ', 'Option ', 'Date First Available ']","['Soundcore', 'Liberty Air', 'True-Wireless Earphones', 'White', 'Earbud', '2.08 ounces', 'Yes', 'Bluetooth', '5 hours (20 hours with charging case)', 'Universal', 'PUSH AND GO technology, touch control', 'Liberty Air true-wireless earphones, charging case, XS/S/M/L/XL EarTips, 60 cm micro USB cable, user manual', 'Truly Wireless', 'November 28, 2019']"
Beats by Dr. Dre - Solo3 Wireless On-Ear Headphones - Gloss Black,9SIA9HABUJ8032,84%,85,139.99,,"['Brand ', 'Model ', 'Part ', 'Type ', 'Color ', 'Connector ', 'Weight ', 'Wireless Type ', 'Operating Time ', 'Features ', 'Package Contents ', 'Date First Available ']","['Beats', 'Solo3', 'MNEN2LL/A', 'On-Ear', 'Glossy Black', '3.5mm', '7.58 oz. / 215g', 'Bluetooth', 'Up to 40 hours of battery life', 'Apple W1 ChipBeats and Apple are changing the way you listen to music with the introduction of Apple W1 technology in Beats Solo3 Wireless. Incorporating the incredible W1 chip brings seamless setup and switching for your Apple devices, amazing battery life, and 5-minute Fast Fuel charging.Up To 40 Hours Of Battery LifePut it on repeat and stay unplugged all day thanks to the new Apple W1 technology, which brings 40 hours of battery life, 5-minute Fast Fuel and seamless setup and switching for your Apple devices to the new Beats Solo3 Wireless.Award-Winning SoundThis headphone delivers premium playback with fine-tuned acoustics that maximize clarity, breadth, and balance. The comfort-cushion ear cups buffer outside noise for immersive sound so you can experience music the way it was meant to be heard.5 Minute Charge = 3 Hours of PlaybackWith Fast Fuel, 5 minutes of charging gets you 3 hours of playback when battery is low.', 'Beats Solo3 Wireless headphonesCarrying CaseUniversal USB charging cable (USB-A to USB Micro-B)Quick Start GuideWarranty Card', 'July 07, 2020']"
Beats Solo3 Wireless On-Ear Headphones - (PRODUCT)RED,9SIAMS4B8T9387,50%,2,159.00,"With up to 40 hours of battery life and the efficient Apple W1 chip, Beats Solo3 Wireless Bluetooth headphones in (PRODUCT) RED are your perfect everyday headphones. With Fast Fuel, a 5-minute charge gives you 3 hours of playback. Enjoy award-winning Beats sound with Class 1 Bluetooth wireless listening freedom. The on-ear, cushioned ear cups are adjustable so you can customize your fit for all-day comfort. Wireless the way it should be. Beats Solo3 Wireless Headphones are ready to go when you are. They instantly set up - just power on and hold them near your iPhone - and then simultaneously connect to your Apple Watch, iPad and Mac. With Class 1 Bluetooth technology, Solo3 Wireless provide the soundtrack to your life with wireless efficiency. The Beats Solo3 wireless headphones are compatible with iOS and Android devices. Highlights The efficient Apple W1 chip brings seamless setup and switching for your Apple devices, * up to 40 hours of battery life, and Fast Fuel technology for 3 hours of play with a 5-minute charge. Connect via Class 1 Bluetooth with your device for wireless listening The award-winning sound and design you? ve come to love from Beats Adjustable fit with comfort-cushioned ear cups made for everyday use Sleek, streamlined design that? s durable and foldable to go everywhere you do Take calls, control your music, and activate Siri with the multifunction on-ear controls *Requires iCloud account and macOS Sierra, iOS 10, watchOS 3 or later versions On-ear control Audio playback and volume controls Phone call controls General Height: 7.8 in / 19.8 cm Weight: 7.58 oz / 215 g Form factor: On ear Power: Rechargeable lithium-ion Connectivity Class 1 Wireless Bluetooth Micro USB port Other features Stereo Bluetooth Beamforming mic for optimal call clarity Noise Isolation","['Brand ', 'Series ', 'Model ', 'Type ', 'Color ', 'Connector ', 'Wireless Type ', 'Compatibility ', 'Package Contents ', 'Option ', 'Date First Available ']","['Beats by Dre', 'Solo 3', 'Solo 3 Wireless', 'Headphone', 'Red', 'Bluetooth', 'Bluetooth', 'Beats', 'Beats Solo3 Wireless Headphones Carrying Case 3.5mm RemoteTalk Cable Universal USB Charging Cable Quick Start Guide Warranty Card', 'ATH-ANC27X', 'April 29, 2020']"
Audio-Technica ATH-AD900X Audiophile Open-Air Headphones,9SIA1CZ7VM4190,86%,"2,151",133.99,,"['Brand ', 'Model ', 'Type ', 'Driver Unit ', 'Frequency Response ', 'Input Impedance ', 'Power Supply ', 'Sensitivity ', 'Connector ', 'Cord Length ', 'Features ', 'Date First Available ']","['Audio-Technica', 'ATH-AD900x', 'Headphone', '53mm', '5Hz-35KHz', '38 ohms', '1,000 mW', '100 dB/mW', '3.5mm', ""3.0 m (9.8')"", 'Audiophile-quality open-air headphones deliver clear, natural vocal and instrumental reproduction, a smooth tonal balance, precise imaging and superlative dynamic rangeLarge-aperture 53 mm drivers and CCAW voice coils for superior sound reproductionNo sense of pressure on the ears, resulting in a completely natural sensation3D Wing Support Housing offers a vibration-proof mechanism that provides comfortable support for a better listening experienceExtremely comfortable ear-fitting padsGold-plated stereo 1/8"" (3.5 mm) connector with 1/4"" (6.3 mm) adapter', 'March 12, 2019']"
"Soundcore Liberty Air 2 Wireless Earbuds, by Anker, Diamond-Inspired Drivers, 4 Mics, Noise Reduction, 28H Playtime, HearID, Bluetooth 5, Wireless Charging, for Calls, Home Office",9SIACCUBA56778,91%,"1,697",99.99,"Key FeaturesSound with Exceptional Accuracy and Clarity:  The diamond-inspired drivers are lightweight, yet rigid for precise sound reproduction and extended treble and bass.aptX Audio:   Ensures lossless sound transfer when streaming media from your device. Hear ID Tailored Sound:   Maps your hearing sensitivity across multiple frequencies to create custom EQ settings for a truly personalized listening experience. 22 EQ Modes:   Use the Soundcore App to choose from a vast range of customized settings to get the most out of your favorite genres. Crystal-Clear Calls:   4 microphones with the latest cVc noise reduction technology effectively highlight your voice while reducing background sounds. Up to 28 Hours of Playtime:   Enjoy 7 hours of playtime on a single charge and extend to 28 hours with the charging case. Fast-Charging:   When you're running short on time, a 10-minute charge will give you 2 hours of listening. Wireless Charging Compatible:   Simply place the charging case on a wireless charging pad for convenient charging. Water-Resistant Design:   Liberty Air 2's IPX5-rated protection defends your earbuds against rain, sweat, and more. Customizable Ear Tips:   Choose from 5 sizes of Ear Tips to find your perfect fit for enhanced passive noise cancellation and comfort. Note: If using with an iPhone 11, incoming calls may cause the Bluetooth connection to drop for 2 - 4 seconds before reconnecting. Upgrade to iPhone 11/iPhone 11 Pro's latest version of iOS to ensure compatibility with Liberty Air 2. Playtime varies according to volume and audio content. This product cannot be connected with multiple devices at the same time. If you need a pair of earbuds that simultaneously connects with multiple devices, check out Soundbuds slim and Spirit X (Upgraded). When enjoying the immersive listening experience, ensure you pay attention to your personal safety. Specifications Impedance: 16 Ω Frequency response: 20 Hz - 20 kHz Bluetooth audio codec: SBC, AAC, aptX Bluetooth transmitter frequency: 2402-2480 MHz Bluetooth range: 10m / 32ft What's In The Box Liberty Air 2 True Wireless Earphones Charging Case XS/S/M/L/XL Ear Tips USB-C Cable Quick Start Guide 18-Month Warranty Friendly Customer Service ","['Brand ', 'Model ', 'Type ', 'Color ', 'Ear Coupling ', 'Operating Time ', 'Compatibility ', 'Features ', 'Option ', 'Date First Available ']","['Soundcore', 'Liberty Air 2', 'Wireless', 'Black', 'Binaural', '7 Hours\t(28 Hours with Charging Case)', 'Universal', 'HearID personalized sound, wireless charging, Qualcomm aptX, touch control', 'Truly Wireless', 'April 26, 2020']"
